,word,annotation_level1_Dieuwertje,annotation_level2_Dieuwertje,annotation_level3_Dieuwertje,annotation_level1_Thirza,annotation_level2_Thirza,annotation_level3_Thirza,annotation_Dieuwertje_total,annotation_Thirza_total
0,Eerste,O,O,O,O,O,O,O,O
1,Hoofdstuk,O,O,O,O,O,O,O,O
2,.,O,O,O,O,O,O,O,O
3,Afhakken,O,O,O,O,O,O,O,O
4,van,O,O,O,O,O,O,O,O
5,',O,O,O,O,O,O,O,O
6,t,O,O,O,O,O,O,O,O
7,vleesch,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
8,in,O,O,O,O,O,O,O,O
9,de,O,O,O,O,O,O,O,O
10,Slacht,O,O,O,O,O,O,O,O
11,-,O,O,O,O,O,O,O,O
12,tyd,O,O,O,O,O,O,O,O
13,",",O,O,O,O,O,O,O,O
14,en,O,O,O,O,O,O,O,O
15,hoe,O,O,O,O,O,O,O,O
16,men,O,O,O,O,O,O,O,O
17,de,O,O,O,O,O,O,O,O
18,stukken,O,O,O,O,O,O,O,O
19,best,O,O,O,O,O,O,O,O
20,en,O,O,O,O,O,O,O,O
21,ten,O,O,O,O,O,O,O,O
22,meesten,O,O,O,O,O,O,O,O
23,voordeelen,O,O,O,O,O,O,O,O
24,zal,O,O,O,O,O,O,O,O
25,gebruiken,O,O,O,O,O,O,O,O
26,",",O,O,O,O,O,O,O,O
27,en,O,O,O,O,O,O,O,O
28,hoe,O,O,O,O,O,O,O,O
29,men,O,O,O,O,O,O,O,O
30,verder,O,O,O,O,O,O,O,O
31,met,O,O,O,O,O,O,O,O
32,alles,O,O,O,O,O,O,O,O
33,in,O,O,O,O,O,O,O,O
34,de,O,O,O,O,O,O,O,O
35,Slacht,O,O,O,O,O,O,O,O
36,-,O,O,O,O,O,O,O,O
37,tyd,O,O,O,O,O,O,O,O
38,",",O,O,O,O,O,O,O,O
39,moet,O,O,O,O,O,O,O,O
40,handelen,O,O,O,O,O,O,O,O
41,.,O,O,O,O,O,O,O,O
42,1,O,O,O,O,O,O,O,O
43,.,O,O,O,O,O,O,O,O
44,Afhakken,O,O,O,O,O,O,O,O
45,van,O,O,O,O,O,O,O,O
46,een,O,O,O,O,O,O,O,O
47,Os,An,Org,Lit,An,Org,Lit,An-Org-Lit,An-Org-Lit
48,",",O,O,O,O,O,O,O,O
49,en,O,O,O,O,O,O,O,O
50,hoe,O,O,O,O,O,O,O,O
51,men,O,O,O,O,O,O,O,O
52,daar,O,O,O,O,O,O,O,O
53,mede,O,O,O,O,O,O,O,O
54,handeldt,O,O,O,O,O,O,O,O
55,",",O,O,O,O,O,O,O,O
56,en,O,O,O,O,O,O,O,O
57,hoe,O,O,O,O,O,O,O,O
58,men,O,O,O,O,O,O,O,O
59,de,O,O,O,O,O,O,O,O
60,stukken,O,O,O,O,O,O,O,O
61,best,O,O,O,O,O,O,O,O
62,gebruikt,O,O,O,O,O,O,O,O
63,.,O,O,O,O,O,O,O,O
64,Als,O,O,O,O,O,O,O,O
65,de,O,O,O,O,O,O,O,O
66,Os,An,Org,Lit,An,Org,Lit,An-Org-Lit,An-Org-Lit
67,doormidden,O,O,O,O,O,O,O,O
68,gehakt,O,O,O,O,O,O,O,O
69,is,O,O,O,O,O,O,O,O
70,",",O,O,O,O,O,O,O,O
71,dan,O,O,O,O,O,O,O,O
72,moet,O,O,O,O,O,O,O,O
73,men,O,O,O,O,O,O,O,O
74,ieder,O,O,O,O,O,O,O,O
75,zyde,O,O,O,An,Part,Lit,O,An-Part-Lit
76,nog,O,O,O,O,O,O,O,O
77,eens,O,O,O,O,O,O,O,O
78,midden,O,O,O,O,O,O,O,O
79,door,O,O,O,O,O,O,O,O
80,laaten,O,O,O,O,O,O,O,O
81,hakken,O,O,O,O,O,O,O,O
82,",",O,O,O,O,O,O,O,O
83,maar,O,O,O,O,O,O,O,O
84,zo,O,O,O,O,O,O,O,O
85,",",O,O,O,O,O,O,O,O
86,dat,O,O,O,O,O,O,O,O
87,de,O,O,O,O,O,O,O,O
88,voorste,O,O,O,O,O,O,O,O
89,zyde,O,O,O,An,Part,Lit,O,An-Part-Lit
90,",",O,O,O,O,O,O,O,O
91,het,O,O,O,O,O,O,O,O
92,kortste,O,O,O,O,O,O,O,O
93,is,O,O,O,O,O,O,O,O
94,",",O,O,O,O,O,O,O,O
95,om,O,O,O,O,O,O,O,O
96,dat,O,O,O,O,O,O,O,O
97,de,O,O,O,O,O,O,O,O
98,ribbenstukken,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
99,dan,O,O,O,O,O,O,O,O
100,veel,O,O,O,O,O,O,O,O
101,beeter,O,O,O,O,O,O,O,O
102,uitkomen,O,O,O,O,O,O,O,O
103,.,O,O,O,O,O,O,O,O
104,Het,O,O,O,O,O,O,O,O
105,bloedige,O,O,O,An,Prod,Lit,O,An-Prod-Lit
106,van,O,O,O,O,O,O,O,O
107,den,O,O,O,O,O,O,O,O
108,hals,An,Part,Lit,An,Part,Lit,An-Part-Lit,An-Part-Lit
109,",",O,O,O,O,O,O,O,O
110,met,O,O,O,O,O,O,O,O
111,den,O,O,O,O,O,O,O,O
112,Afval,O,O,O,O,O,O,O,O
113,;,O,O,O,O,O,O,O,O
114,legt,O,O,O,O,O,O,O,O
115,men,O,O,O,O,O,O,O,O
116,byzonder,O,O,O,O,O,O,O,O
117,",",O,O,O,O,O,O,O,O
118,en,O,O,O,O,O,O,O,O
119,is,O,O,O,O,O,O,O,O
120,geschikt,O,O,O,O,O,O,O,O
121,tot,O,O,O,O,O,O,O,O
122,Huspot,O,O,O,O,O,O,O,O
123,;,O,O,O,O,O,O,O,O
124,en,O,O,O,O,O,O,O,O
125,kan,O,O,O,O,O,O,O,O
126,",",O,O,O,O,O,O,O,O
127,na,O,O,O,O,O,O,O,O
128,dat,O,O,O,O,O,O,O,O
129,het,O,O,O,O,O,O,O,O
130,uitgetrokken,O,O,O,O,O,O,O,O
131,is,O,O,O,O,O,O,O,O
132,en,O,O,O,O,O,O,O,O
133,een,O,O,O,O,O,O,O,O
134,dag,O,O,O,O,O,O,O,O
135,of,O,O,O,O,O,O,O,O
136,zes,O,O,O,O,O,O,O,O
137,in,O,O,O,O,O,O,O,O
138,',O,O,O,O,O,O,O,O
139,t,O,O,O,O,O,O,O,O
140,zout,O,O,O,O,O,O,O,O
141,gelegen,O,O,O,O,O,O,O,O
142,heeft,O,O,O,O,O,O,O,O
143,",",O,O,O,O,O,O,O,O
144,gegeeten,O,O,O,O,O,O,O,O
145,worden,O,O,O,O,O,O,O,O
146,.,O,O,O,O,O,O,O,O
147,Dat,O,O,O,O,O,O,O,O
148,geheel,O,O,O,O,O,O,O,O
149,vleesch,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
150,zonder,O,O,O,O,O,O,O,O
151,been,O,O,O,An,Part,Lit,O,An-Part-Lit
152,is,O,O,O,O,O,O,O,O
153,",",O,O,O,O,O,O,O,O
154,gebruikt,O,O,O,O,O,O,O,O
155,men,O,O,O,O,O,O,O,O
156,om,O,O,O,O,O,O,O,O
157,daar,O,O,O,O,O,O,O,O
158,Osse,O,O,O,O,O,O,O,O
159,-,O,O,O,O,O,O,O,O
160,worst,O,O,O,O,O,O,O,O
161,van,O,O,O,O,O,O,O,O
162,te,O,O,O,O,O,O,O,O
163,maaken,O,O,O,O,O,O,O,O
164,;,O,O,O,O,O,O,O,O
165,en,O,O,O,O,O,O,O,O
166,het,O,O,O,O,O,O,O,O
167,vleesch,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
168,van,O,O,O,O,O,O,O,O
169,de,O,O,O,O,O,O,O,O
170,schouwders,O,O,O,An,Part,Lit,O,An-Part-Lit
171,met,O,O,O,O,O,O,O,O
172,de,O,O,O,O,O,O,O,O
173,twee,O,O,O,O,O,O,O,O
174,platte,O,O,O,O,O,O,O,O
175,bil,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
176,stukken,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
177,",",O,O,O,O,O,O,O,O
178,met,O,O,O,O,O,O,O,O
179,het,O,O,O,O,O,O,O,O
180,vet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
181,van,O,O,O,O,O,O,O,O
182,de,O,O,O,O,O,O,O,O
183,broek,O,O,O,O,O,O,O,O
184,gebruikt,O,O,O,O,O,O,O,O
185,men,O,O,O,O,O,O,O,O
186,tot,O,O,O,O,O,O,O,O
187,rolpens,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
188,in,O,O,O,O,O,O,O,O
189,plaats,O,O,O,O,O,O,O,O
190,van,O,O,O,O,O,O,O,O
191,ander,O,O,O,O,O,O,O,O
192,vet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
193,.,O,O,O,O,O,O,O,O
194,Het,O,O,O,O,O,O,O,O
195,vleesch,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
196,om,O,O,O,O,O,O,O,O
197,in,O,O,O,O,O,O,O,O
198,de,O,O,O,O,O,O,O,O
199,rook,O,O,O,O,O,O,O,O
200,te,O,O,O,O,O,O,O,O
201,hangen,O,O,O,O,O,O,O,O
202,daar,O,O,O,O,O,O,O,O
203,toe,O,O,O,O,O,O,O,O
204,neemt,O,O,O,O,O,O,O,O
205,men,O,O,O,O,O,O,O,O
206,de,O,O,O,O,O,O,O,O
207,Paterstukken,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
208,",",O,O,O,O,O,O,O,O
209,de,O,O,O,O,O,O,O,O
210,twee,O,O,O,O,O,O,O,O
211,andere,O,O,O,O,O,O,O,O
212,platte,O,O,O,O,O,O,O,O
213,billen,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
214,;,O,O,O,O,O,O,O,O
215,en,O,O,O,O,O,O,O,O
216,de,O,O,O,O,O,O,O,O
217,twee,O,O,O,O,O,O,O,O
218,beste,O,O,O,O,O,O,O,O
219,ribben,An,Prod,Lit,An,Part,Lit,An-Prod-Lit,An-Part-Lit
220,;,O,O,O,O,O,O,O,O
221,en,O,O,O,O,O,O,O,O
222,de,O,O,O,O,O,O,O,O
223,spieren,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
224,",",O,O,O,O,O,O,O,O
225,die,O,O,O,O,O,O,O,O
226,achter,O,O,O,O,O,O,O,O
227,tusschen,O,O,O,O,O,O,O,O
228,de,O,O,O,O,O,O,O,O
229,beenen,An,Prod,Lit,An,Part,Lit,An-Prod-Lit,An-Part-Lit
230,van,O,O,O,O,O,O,O,O
231,de,O,O,O,O,O,O,O,O
232,ribben,An,Prod,Lit,An,Part,Lit,An-Prod-Lit,An-Part-Lit
233,inzitten,O,O,O,O,O,O,O,O
234,",",O,O,O,O,O,O,O,O
235,moeten,O,O,O,O,O,O,O,O
236,daar,O,O,O,O,O,O,O,O
237,schoon,O,O,O,O,O,O,O,O
238,uitgedaan,O,O,O,O,O,O,O,O
239,worden,O,O,O,O,O,O,O,O
240,",",O,O,O,O,O,O,O,O
241,om,O,O,O,O,O,O,O,O
242,dat,O,O,O,O,O,O,O,O
243,daar,O,O,O,O,O,O,O,O
244,door,O,O,O,O,O,O,O,O
245,ligt,O,O,O,O,O,O,O,O
246,verderf,O,O,O,O,O,O,O,O
247,ontstaan,O,O,O,O,O,O,O,O
248,kan,O,O,O,O,O,O,O,O
249,.,O,O,O,O,O,O,O,O
250,De,O,O,O,O,O,O,O,O
251,Harsten,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
252,laat,O,O,O,O,O,O,O,O
253,men,O,O,O,O,O,O,O,O
254,een,O,O,O,O,O,O,O,O
255,dag,O,O,O,O,O,O,O,O
256,of,O,O,O,O,O,O,O,O
257,vyf,O,O,O,O,O,O,O,O
258,in,O,O,O,O,O,O,O,O
259,het,O,O,O,O,O,O,O,O
260,zout,O,O,O,O,O,O,O,O
261,leggen,O,O,O,O,O,O,O,O
262,en,O,O,O,O,O,O,O,O
263,men,O,O,O,O,O,O,O,O
264,moet,O,O,O,O,O,O,O,O
265,ze,O,O,O,O,O,O,O,O
266,niet,O,O,O,O,O,O,O,O
267,te,O,O,O,O,O,O,O,O
268,groot,O,O,O,O,O,O,O,O
269,laaten,O,O,O,O,O,O,O,O
270,hakken,O,O,O,O,O,O,O,O
271,",",O,O,O,O,O,O,O,O
272,om,O,O,O,O,O,O,O,O
273,dat,O,O,O,O,O,O,O,O
274,ze,O,O,O,O,O,O,O,O
275,anders,O,O,O,O,O,O,O,O
276,te,O,O,O,O,O,O,O,O
277,ongeschikt,O,O,O,O,O,O,O,O
278,zyn,O,O,O,O,O,O,O,O
279,",",O,O,O,O,O,O,O,O
280,en,O,O,O,O,O,O,O,O
281,ieder,O,O,O,O,O,O,O,O
282,een,O,O,O,O,O,O,O,O
283,doet,O,O,O,O,O,O,O,O
284,dit,O,O,O,O,O,O,O,O
285,naa,O,O,O,O,O,O,O,O
286,de,O,O,O,O,O,O,O,O
287,groote,O,O,O,O,O,O,O,O
288,van,O,O,O,O,O,O,O,O
289,zyn,O,O,O,O,O,O,O,O
290,huisgezin,O,O,O,O,O,O,O,O
291,",",O,O,O,O,O,O,O,O
292,ook,O,O,O,O,O,O,O,O
293,zyn,O,O,O,O,O,O,O,O
294,die,O,O,O,O,O,O,O,O
295,Harsten,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
296,dus,O,O,O,O,O,O,O,O
297,zeer,O,O,O,O,O,O,O,O
298,goed,O,O,O,O,O,O,O,O
299,om,O,O,O,O,O,O,O,O
300,in,O,O,O,O,O,O,O,O
301,den,O,O,O,O,O,O,O,O
302,Oven,O,O,O,O,O,O,O,O
303,gezet,O,O,O,O,O,O,O,O
304,en,O,O,O,O,O,O,O,O
305,gebraaden,O,O,O,O,O,O,O,O
306,te,O,O,O,O,O,O,O,O
307,worden,O,O,O,O,O,O,O,O
308,.,O,O,O,O,O,O,O,O
309,Het,O,O,O,O,O,O,O,O
310,vleesch,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
311,om,O,O,O,O,O,O,O,O
312,in,O,O,O,O,O,O,O,O
313,de,O,O,O,O,O,O,O,O
314,Kuip,O,O,O,O,O,O,O,O
315,in,O,O,O,O,O,O,O,O
316,te,O,O,O,O,O,O,O,O
317,zouten,O,O,O,O,O,O,O,O
318,",",O,O,O,O,O,O,O,O
319,daar,O,O,O,O,O,O,O,O
320,neemt,O,O,O,O,O,O,O,O
321,men,O,O,O,O,O,O,O,O
322,toe,O,O,O,O,O,O,O,O
323,de,O,O,O,O,O,O,O,O
324,zes,O,O,O,O,O,O,O,O
325,klapstukken,O,O,O,An,Prod,Lit,O,An-Prod-Lit
326,van,O,O,O,O,O,O,O,O
327,de,O,O,O,O,O,O,O,O
328,buyk,An,Prod,Lit,An,Part,Lit,An-Prod-Lit,An-Part-Lit
329,",",O,O,O,O,O,O,O,O
330,de,O,O,O,O,O,O,O,O
331,twee,O,O,O,O,O,O,O,O
332,staartstukken,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
333,",",O,O,O,O,O,O,O,O
334,de,O,O,O,O,O,O,O,O
335,schouwderbladeren,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
336,",",O,O,O,O,O,O,O,O
337,de,O,O,O,O,O,O,O,O
338,twee,O,O,O,O,O,O,O,O
339,borststukken,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
340,",",O,O,O,O,O,O,O,O
341,de,O,O,O,O,O,O,O,O
342,vier,O,O,O,O,O,O,O,O
343,andere,O,O,O,O,O,O,O,O
344,ribben,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
345,",",O,O,O,O,O,O,O,O
346,als,O,O,O,O,O,O,O,O
347,men,O,O,O,O,O,O,O,O
348,de,O,O,O,O,O,O,O,O
349,twee,O,O,O,O,O,O,O,O
350,beste,O,O,O,O,O,O,O,O
